Refseq_001	31	44	2	3	0	7	10	4	0	0	0	2	0	4	1	0	0	0.375	0.069	0.01	-0.621	-0.616	-0.808	0.051	0.514	-0.238	-1.558	-1.825	1
Refseq_002	13	22	0	2	0	13	21	2	16	2	2	2	0	5	0	2	0	0.605	0.809	0.27	0.012	0.039	-0.171	0.281	-0.079	-0.05	0.163	-0.124	1
Refseq_003	62	94	4	12	4	3	9	0	7	0	1	4	1	8	2	6	0	0.304	0.211	0.779	0.49	0.321	-0.089	0.407	-0.222	-0.193	-0.361	-0.521	1
Refseq_004	11	8	2	2	2	53	93	27	35	13	1	3	0	7	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1
Refseq_005	41	78	0	3	0	0	0	0	0	0	0	4	1	5	4	2	0	-0.27	-0.315	-0.526	-0.502	-0.597	-0.336	-0.644	-0.385	-0.395	-0.563	-0.421	1
Refseq_006	28	44	2	7	0	13	22	8	15	4	1	3	0	8	3	6	0	0.828	1.289	1.038	1.2	1.447	0.258	0.611	0.152	-0.056	-0.097	-0.378	1
Refseq_007	24	24	0	1	0	11	22	10	14	8	0	4	1	1	1	3	0	-0.014	0.309	0.033	0.382	0.034	0.122	0.388	0.864	0.135	-0.891	-1.595	1
Refseq_008	34	52	4	2	2	7	3	2	3	2	1	3	0	8	1	6	0	0.083	0.524	0.466	0.295	-0.073	0.542	0.734	1.014	0.753	0.44	-0.385	1
Refseq_009	37	56	8	13	4	48	74	24	53	22	0	1	1	0	0	0	0	-0.431	-0.049	-0.29	-0.555	-0.49	0.086	-0.354	-0.183	-0.128	-0.304	-0.04	1
Refseq_010	38	76	0	2	0	0	0	0	0	0	0	3	0	5	4	2	0	0.767	0.826	0.698	1.142	0.404	0.077	0.18	0.197	0.097	0.032	-0.22	1
Refseq_011	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Refseq_012	26	38	10	4	2	27	50	14	14	6	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Refseq_013	43	58	8	3	2	9	21	10	6	6	0	4	1	1	1	3	0	-0.282	0.344	0.174	0.331	0.177	-0.296	-0.399	-0.054	-0.482	0.045	-0.568	1
Refseq_014	51	102	0	3	0	0	0	0	0	0	0	4	1	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1
